episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
2677,70.28571428571429,320.14486322888973,,,,,,,6.729993391036987,-0.0790957716642879,317.47477531433105,117000,113.1965126991272,1033.6007462613477
2690,77.84615384615384,302.701854706927,,,,,,,,,,118000,114.14904403686523,1033.7362086176654
2704,71.35714285714286,301.56759986887147,,,,,,,6.722440659999847,-0.08378791796276346,396.39457550048826,119000,115.38598108291626,1031.3211265629116
2718,68.57142857142857,310.40356213666973,,,,,,,,,,120000,116.3191785812378,1031.6441490015468
2733,68.0,295.32828822294226,,,,,,,6.714210772514344,-0.0802994781639427,337.48514862060546,121000,117.47538232803345,1030.003032142722
2746,75.92307692307692,307.90248925062645,,,,,,,,,,122000,118.41037154197693,1030.3151523914485
2761,68.8,275.00775049952176,,,,,,,6.707992744445801,-0.08031708064954728,296.67485961914065,123000,119.55610990524292,1028.8056386033857
2774,73.23076923076923,323.5409624262866,,,,,,,,,,124000,120.49045538902283,1029.1271586587175
2788,70.28571428571429,292.01029213174735,,,,,,,6.701020646095276,-0.07982367037329823,476.4208465576172,125000,121.63587927818298,1027.6573059016841
2802,72.85714285714286,297.0612336502722,,,,,,,,,,126000,122.56646537780762,1028.013654563739
2817,69.66666666666667,300.2486847373572,,,,,,,6.69631575345993,-0.07269185339100659,411.7722343444824,127000,123.59630846977234,1027.5387798581387
2831,71.85714285714286,313.6594022777722,,,,,,,,,,128000,124.20634007453918,1030.543206757273
2843,79.66666666666667,347.0304909322346,,,,,,,,,,129000,124.87646317481995,1033.0209290073128
2857,73.57142857142857,318.8123848480633,,,,,,,6.689888489246369,-0.08059813955333084,352.8963752746582,130000,125.69460773468018,1034.2528000437997
2870,75.61538461538461,298.94506175929837,,,,,,,,,,131000,126.31305432319641,1037.1057900698936
2885,69.53333333333333,320.02493493179793,,,,,,,6.679935920238495,-0.08033059012377634,376.998282623291,132000,127.40743064880371,1036.046322634475
2898,74.84615384615384,332.90903536130577,,,,,,,,,,133000,128.3349528312683,1036.3505581746322
